ICD10,PHECODE,Excl. Phecodes,Excl. Phenotypes
H15,379,375-379.99, other eye disorders
A42,41,,
O68.8,655,655-655.99,Known or suspected fetal abnormality (mother)
A54.9,90.2,,
T33.8,1014,,
K27.5,531.4,531-531.99, gastro ulcer
M80-M85.9,743.9,743-744.99," osteopenia, osteoporosis, pathological fractures"
Y84.1,585.31,580-590.99, diseases of kidney and ureters
O74.3,668,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
M25.6,741.2,741-742.99, other non-traumatic joint disorders
M43.8,724.9,720-724.99,DORSOPATHIES
H61.9,380,380-380.99, disorders of external ear
Q30.3,749,748-749.99," congenital anomalies of respiratory system, face and neck"
C11.8,149.2,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
H51,378,375-379.99, other eye disorders
P03.4,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
P03.6,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
F33.9,296.2,295-306.99, psychological disorders
A84.9,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
N00-N08.9,580.32,580-590.99, diseases of kidney and ureters
Y52,972,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
S76.0,1009,,
M71.3,727.4,725-729.99,"Rheumatism, Excluding The Back"
I35,395.2,394-399.99, heart valve disorders
A52,90,,
Z95.3,395.6,394-399.99, heart valve disorders
T62,988,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
C22.1,155,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
K00.8,520,520-526.99, Disorders of teeth and jaw
I63.5,433.2,430-438.99,CEREBROVASCULAR DISEASE
I70.8,440,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
K28.2,531.1,531-531.99, gastro ulcer
M50.9,722.9,720-724.99,DORSOPATHIES
B96.5,41,,
D21,215,214-215.99,Lipoma and Other benign neoplasm of connective and other soft tissue
J06.8,465,460-469.99, acute upper respiratory infections
D59,283,280-285.99,Anemias
C15.9,150,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
O98,647,647-647.99, Infectious and parasitic complications affecting pregnancy
S95.2,1007,,
A30.9,31.1,,
E23.3,253,251-259.99,Other endocrine disorders
P54.8,656.4,656-656.99,Other and unspecified perinatal conditions
Q50.5,751.11,750-751.99," congenital anomalies of gi, urinary tract"
I63.5,433.21,430-438.99,CEREBROVASCULAR DISEASE
S87.8,1009,,
I97.0,429.1,428-429.99, Heart failure
Q97.9,758.1,756-759.99, All other congenital anomalies
Q36.9,749.1,747-759.99,
O23.0,647.1,647-647.99, Infectious and parasitic complications affecting pregnancy
D51.8,281.12,280-285.99,Anemias
I23.4,414,410-414.99,ISCHEMIC HEART DISEASE
F39,296,295-306.99, psychological disorders
E12.2,260.2,260-264.99,Nutritional deficiencies
C85.9,202.2,200-204.99, cancer of lymphatic and hematopoietic tissue
X72,297.2,295-306.99, psychological disorders
R39.8,598,598-598.99, Nonspecific findings on examination of urine
Q73.8,755.4,754-756.99, congenital musculoskeletal anomalies
D60.1,284,280-285.99,Anemias
K57.0,562.1,555-564.99, noninfective gastrointestinal disorders
E12.2,249,249-250.99,DIABETES
R85.4,1010,,
S92.0,801,800-809.99, Fractures
S60.2,916,916-916.99, Contusion
S92.0,800.4,800-809.99, Fractures
X17,1014,,
R39.8,599,599-599.99, Other symptoms/disorders or the urinary system
G62.0,316.1,316-319.99, Substance-related disorders
K45.8,550,550-550.99, Abdominal hernia
I83,454.1,450-457.99, diseases of veins and lymphatics
G71.8,359.2,356-359.99, Disorders of the peripheral nervous system
N03.4,580.11,580-590.99, diseases of kidney and ureters
P02.5,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
C83.7,202.2,200-204.99, cancer of lymphatic and hematopoietic tissue
H25.2,366.2,366-366.99,Cataract
Y32,297,295-306.99, psychological disorders
R47.1,292.1,290-292.99, dementia and related cognitive disorders/symptoms
M45,715.2,"714-716.00, 696-696.99", Autoimmune arthritis and psoriasis
B42,117,110-118.99, Mycoses
Q84.9,757,756-759.99, All other congenital anomalies
I34.8,395.1,394-399.99, heart valve disorders
X80,297.2,295-306.99, psychological disorders
L66,704.1,703-704.99, Diseases of hair and nails
S95.7,1007,,
I42.4,425.1,420-425.99, Other peri-; endo-; and myocarditis
N48.6,604.1,600-609.99, male genital disorders
S98.0,872,870-879.99, Open wound
K13.5,528,527-529.99, Diseases of mouth; excluding dental
E66.9,278.1,278-278.99, Obesity
B48.2,117,110-118.99, Mycoses
K09.2,526.1,520-526.99, Disorders of teeth and jaw
I24.0,411.4,410-414.99,ISCHEMIC HEART DISEASE
K58,564.1,555-564.99, noninfective gastrointestinal disorders
L50.5,947,930-949.99, allergic reactions
D69.1,287.4,286-287.99,COAGULATION OR HEMORRHAGIC DISEASES
T80.5,941,930-949.99, allergic reactions
T46.5,972,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
F33.8,296.22,295-306.99, psychological disorders
Q60.1,751.22,750-751.99," congenital anomalies of gi, urinary tract"
D43.2,191,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
I07.1,394.7,394-399.99, heart valve disorders
P37.4,657,657-657.99,Infections specific to the perinatal period
L55.0,938.1,930-949.99, allergic reactions
M21,736,735-739.99, Acquired deformities
Q83.3,612.3,610-613.99, nonmalignant breast conditions
O20.9,636.3,634-636.99,complications of pregnancy
P70.1,656.3,656-656.99,Other and unspecified perinatal conditions
J05.0,483,480-488.99, Pneumonia and influenza
L45,689,689-689.99, Other skin disorders NOS
N49,601.8,"185-187.99, 796-796.99, 600-602.99", male genital disorders/cancer/neoplasms; elevated psa
E12.1,249,249-250.99,DIABETES
Z72.8,306,295-306.99, psychological disorders
L41,696.2,690-697.99, Other inflammatory condition of skin
P74.1,656.3,656-656.99,Other and unspecified perinatal conditions
R41.8,292,290-292.99, dementia and related cognitive disorders/symptoms
M00-M99.9,709.7,"690-697.99, 708-709.99",
B41.9,117.3,110-118.99, Mycoses
M75.3,726.2,725-729.99,"Rheumatism, Excluding The Back"
D81.8,279.1,279-279.99,Other Immune Disorders
E12.1,260.2,260-264.99,Nutritional deficiencies
N23,594.8,594-595.99, urinary calculus
A15.5,10,,
T32.1,1000,,
I60.6,430.1,430-438.99,CEREBROVASCULAR DISEASE
M76.5,726.1,725-729.99,"Rheumatism, Excluding The Back"
G52.0,352,351-355.99, mononeuritis and nerve lesions
S70.1,916,916-916.99, Contusion
A43.9,41,,
K83.0,575.1,574-576.99, Biliary tract disease
I60.0,459.9,458-459.99, other circulatory symptoms/findings/disorders
G32.8,349,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
O21.2,643,643-643.99,Excessive vomiting in pregnancy
R16.0,573.3,570-573.99, Liver disease
B40.9,117.3,110-118.99, Mycoses
E10.2,250.12,249-250.99,DIABETES
E85.9,270.33,269-270.99, Disorders of amino-acid transport/metabolism
O64.5,652,652-654.99,Other and unspecified complications of birth affecting mother
H91.0,389,387-389.99, Hearing loss and related disorders
S50.8,915,910-919.99,"superficial, contusion, crushing injuries"
E03.2,244.1,240-246.99,DISORDERS OF THYROID GLAND
K55.2,569,565-569.99, Other gastrointestinal
I60.0,433,430-438.99,CEREBROVASCULAR DISEASE
B77.8,134.1,130-136.99, Other infections; including parasitic
B44.7,117.4,110-118.99, Mycoses
E87.0,276.11,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
A36.2,465,460-469.99, acute upper respiratory infections
A82.9,79,,
B70.0,134.1,130-136.99, Other infections; including parasitic
O64.8,652,652-654.99,Other and unspecified complications of birth affecting mother
Q06.8,752.2,752-754.99," congenital anomalies of nervous system, spine"
B18.9,70,,
T24.6,1000,,
B00.4,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
C96.2,202,200-204.99, cancer of lymphatic and hematopoietic tissue
O99.4,671,670-677.99,COMPLICATIONS OF THE PUERPERIUM
C60.8,187.1,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
E75.2,331,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
B67.5,134.1,130-136.99, Other infections; including parasitic
C51.1,184.2,"174-184.99, 220-221.99", cancer of female genital organs; benign neoplasm of female genital organs
Q64.7,751.2,750-751.99," congenital anomalies of gi, urinary tract"
P92.2,656.3,656-656.99,Other and unspecified perinatal conditions
A56.0,90.3,,
A19.8,10,,
C26.9,159,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
C64,189.11,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
T45.6,964,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
O36.0,654.2,652-654.99,Other and unspecified complications of birth affecting mother
P25.8,656.22,656-656.99,Other and unspecified perinatal conditions
C78.1,198.2,195-199.99,"Neoplasms: malignant, secondary or uncertain"
P13.2,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
H60.0,686.1,680-686.99, Skin and subcutaneous tissue infections
S27.8,1008,,
L40.3,696.41,"690-697.99, 714-714.99",
Z51.1,197,195-199.99,"Neoplasms: malignant, secondary or uncertain"
Q66.2,755.1,754-756.99, congenital musculoskeletal anomalies
E78.5,272.1,272-272.99,Disorders of lipoid metabolism
I38,420.3,420-425.99, Other peri-; endo-; and myocarditis
A28.2,41,,
D47.1,200,200-204.99, cancer of lymphatic and hematopoietic tissue
R00.8,427,426-427.99, cardiac conduction disorders
A84.8,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
H60.0,380.1,380-380.99, disorders of external ear
D69.6,287.3,286-287.99,COAGULATION OR HEMORRHAGIC DISEASES
Q33.4,748,748-749.99," congenital anomalies of respiratory system, face and neck"
E50-E64.9,263,260-264.99,Nutritional deficiencies
Q68,756,754-756.99, congenital musculoskeletal anomalies
T80.2,1011,,
R21,687.1,687-687.99, Symptoms affecting skin
R84.9,516,516-516.99, Abnormal sputum
D25,218.1,"217-223.99, 180-184.99"," benign neoplasm of breast, ovary, uterus, and other genitourinary organs; uterine/ovarian cancer"
B47.0,117,110-118.99, Mycoses
T46.7,972,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
T65,989,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
F93.9,313,312-315.99,Developmental/behavioral disorders
M53.3,742.9,741-742.99, other non-traumatic joint disorders
T23.4,1000,,
D03,172.11,172-173.99,Malignant neoplasm of skin
D04.5,172.3,172-173.99,Malignant neoplasm of skin
E25.0,255.3,251-259.99,Other endocrine disorders
M61.2,728.1,725-729.99,"Rheumatism, Excluding The Back"
C71.2,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
H21.9,379.5,375-379.99, other eye disorders
T93.3,830,830-839.99, joint disorders and dislocations; trauma-related
L65.0,704.12,703-704.99, Diseases of hair and nails
E06.1,245.1,240-246.99,DISORDERS OF THYROID GLAND
N73.3,614,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
F89,315,312-315.99,Developmental/behavioral disorders
P15.0,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
Q15.9,753,752-754.99," congenital anomalies of nervous system, spine"
E07,246,240-246.99,DISORDERS OF THYROID GLAND
E32,254,251-259.99,Other endocrine disorders
T46.6,972,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
C71.3,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
Q31.3,748,748-749.99," congenital anomalies of respiratory system, face and neck"
F84.9,313.3,312-315.99,Developmental/behavioral disorders
A00.0,8,,
R49.2,473.4,470-479.99, other/chronic upper respiratory disease
H47.2,377.1,375-379.99, other eye disorders
M21.2,736,735-739.99, Acquired deformities
D32.9,225.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
S56.2,1009,,
P59.3,656.8,656-656.99,Other and unspecified perinatal conditions
I45.5,426.25,426-427.99, cardiac conduction disorders
G72.4,359.2,356-359.99, Disorders of the peripheral nervous system
M18.1,740.11,740-740.99, osteoarthritis
H70,381.3,381-385.99, otitis media and related conditions
I05.0,394.2,394-399.99, heart valve disorders
D73,289.5,288-289.99,Other diseases of the blood
S45.7,1007,,
I08.9,394,394-399.99, heart valve disorders
T62.1,988,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
N99.4,568.1,565-569.99, Other gastrointestinal
M21.2,739,735-739.99, Acquired deformities
A68,130,130-136.99, Other infections; including parasitic
I08.9,420.3,420-425.99, Other peri-; endo-; and myocarditis
O00-O08.9,634.3,634-636.99,complications of pregnancy
W78,656.2,656-656.99,Other and unspecified perinatal conditions
G83.8,344,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
J70.4,500,500-509.99, Pneumoconioses and other lung diseases
M75.5,726,725-729.99,"Rheumatism, Excluding The Back"
P24.9,656.2,656-656.99,Other and unspecified perinatal conditions
T81.7,1011,,
B71,134.1,130-136.99, Other infections; including parasitic
R82.2,277.4,277-277.99,Other/unspecified disorders of metabolism
H44.4,360.3,360-365.99, Degenerative disorders of the eye
N02.8,593,590-593.99, Urinary tract infections
N04.4,580.11,580-590.99, diseases of kidney and ureters
E06.4,245,240-246.99,DISORDERS OF THYROID GLAND
B39.5,117.1,110-118.99, Mycoses
D55.3,282.9,280-285.99,Anemias
Q52.5,751.11,750-751.99," congenital anomalies of gi, urinary tract"
M66.0,727.5,725-729.99,"Rheumatism, Excluding The Back"
F40.2,300.13,295-306.99, psychological disorders
T38.3,962,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
M76.3,772,772-772.99, Other muscular symptoms
K07.5,524,520-526.99, Disorders of teeth and jaw
T81.7,854,850-859.99, Complications
P96.9,656,656-656.99,Other and unspecified perinatal conditions
P24.9,656,656-656.99,Other and unspecified perinatal conditions
E89.9,277,277-277.99,Other/unspecified disorders of metabolism
Q92.8,758.1,756-759.99, All other congenital anomalies
T34.6,1014,,
B19,70,,
P29.8,656,656-656.99,Other and unspecified perinatal conditions
F91.0,312,312-315.99,Developmental/behavioral disorders
C95.9,204,200-204.99, cancer of lymphatic and hematopoietic tissue
K86.1,577.2,577-577.99, pancreatic disorders
M15.8,716.1,710-716.99,Arthropathies
F31.7,296.1,295-306.99, psychological disorders
K80.1,574.12,574-576.99, Biliary tract disease
P54.5,656.4,656-656.99,Other and unspecified perinatal conditions
E12.8,249,249-250.99,DIABETES
H10.9,369.5,369-374.99, infection/inflammation of eye
D73.9,289.5,288-289.99,Other diseases of the blood
H74.8,385,381-385.99, otitis media and related conditions
I09.8,394,394-399.99, heart valve disorders
T32.0,1000,,
P54.9,656.4,656-656.99,Other and unspecified perinatal conditions
A08,8.6,,
D25.9,218.1,"217-223.99, 180-184.99"," benign neoplasm of breast, ovary, uterus, and other genitourinary organs; uterine/ovarian cancer"
P10.8,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
D44.1,199,195-199.99,"Neoplasms: malignant, secondary or uncertain"
A32.1,41,,
I49.9,427.5,426-427.99, cardiac conduction disorders
Q78.4,756,754-756.99, congenital musculoskeletal anomalies
H30.9,371.1,369-374.99, infection/inflammation of eye
L27.1,939,930-949.99, allergic reactions
Q26,747.13,747-747.99," congenital anomalies, circulatory and cardiac"
J60-J70.9,500.2,500-509.99, Pneumoconioses and other lung diseases
C10.3,149.1,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
P59.1,656.8,656-656.99,Other and unspecified perinatal conditions
Q30.8,749,748-749.99," congenital anomalies of respiratory system, face and neck"
O03.0,634,634-636.99,complications of pregnancy
S14.2,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
D83,279.11,279-279.99,Other Immune Disorders
E72.2,270.21,269-270.99, Disorders of amino-acid transport/metabolism
R86.7,609.2,600-609.99, male genital disorders
E25.8,255.3,251-259.99,Other endocrine disorders
E89.3,258,251-259.99,Other endocrine disorders
I72.4,442.3,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
H90.4,389.1,387-389.99, Hearing loss and related disorders
A32.0,41,,
I01.8,394.4,394-399.99, heart valve disorders
J67.0,500.1,500-509.99, Pneumoconioses and other lung diseases
T84.8,859,850-859.99, Complications
T48.6,975,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
S83.1,830,830-839.99, joint disorders and dislocations; trauma-related
B06.9,79,,
O26.4,646,646-646.99, Other complications of pregnancy NEC
F43.8,304,295-306.99, psychological disorders
Q54.8,751.12,750-751.99," congenital anomalies of gi, urinary tract"
E71.3,277.5,277-277.99,Other/unspecified disorders of metabolism
D44.9,199,195-199.99,"Neoplasms: malignant, secondary or uncertain"
M80.4,743.13,743-744.99," osteopenia, osteoporosis, pathological fractures"
B21.8,71.1,,
Y40.7,960.3,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
C82.2,202.2,200-204.99, cancer of lymphatic and hematopoietic tissue
S20.0,916,916-916.99, Contusion
N13.8,586.4,580-590.99, diseases of kidney and ureters
M96.5,737.3,735-739.99, Acquired deformities
S34.1,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
Q11.1,753,752-754.99," congenital anomalies of nervous system, spine"
S05.6,870.1,870-879.99, Open wound
B38.1,480.3,480-488.99, Pneumonia and influenza
H93.0,389.3,387-389.99, Hearing loss and related disorders
G11,334.1,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
N03,580.14,580-590.99, diseases of kidney and ureters
T28.9,1000,,
K65,567,565-569.99, Other gastrointestinal
A18.2,10,,
N64,613,613-613.99, other nonmalignant breast conditions
L53.0,695.1,690-697.99, Other inflammatory condition of skin
R84.1,1010,,
M76.8,726.1,725-729.99,"Rheumatism, Excluding The Back"
D14.1,212,212-212.99,Benign neoplasm of respiratory and intrathoracic organs
Q21.1,747.11,747-747.99," congenital anomalies, circulatory and cardiac"
C79.6,198,195-199.99,"Neoplasms: malignant, secondary or uncertain"
M70.0,727.1,725-729.99,"Rheumatism, Excluding The Back"
T41.0,967,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
J95-J99.9,512,512-512.99, Other symptoms of respiratory system
S85,1007,,
A59,131,130-136.99, Other infections; including parasitic
M99.6,724.9,720-724.99,DORSOPATHIES
I69.4,433.8,430-438.99,CEREBROVASCULAR DISEASE
Q77.2,756.2,754-756.99, congenital musculoskeletal anomalies
H26.8,366,366-366.99,Cataract
H62,380.1,380-380.99, disorders of external ear
K80.4,574.2,574-576.99, Biliary tract disease
N39.8,599,599-599.99, Other symptoms/disorders or the urinary system
J01.8,464,460-469.99, acute upper respiratory infections
C96.9,202.2,200-204.99, cancer of lymphatic and hematopoietic tissue
G40.1,345.1,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
K57,562.1,555-564.99, noninfective gastrointestinal disorders
P54.0,656.4,656-656.99,Other and unspecified perinatal conditions
C14.2,149,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
K56.5,560.4,555-564.99, noninfective gastrointestinal disorders
T68,780,780-780.99, Hypothermia/Chills
A86,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
K80.4,574.12,574-576.99, Biliary tract disease
O20.0,636.3,634-636.99,complications of pregnancy
Q66.8,755.1,754-756.99, congenital musculoskeletal anomalies
I71.0,442.1,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
F50-F59.9,303.3,295-306.99, psychological disorders
K56.5,560.3,555-564.99, noninfective gastrointestinal disorders
S10.1,915,910-919.99,"superficial, contusion, crushing injuries"
M94.8,733,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
R39.1,599.9,599-599.99, Other symptoms/disorders or the urinary system
A98.1,79,,
B02.1,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
Z88.6,965,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
Z90.2,175,"174-184.99, 610-611.99",
I68.2,433,430-438.99,CEREBROVASCULAR DISEASE
P23.3,656,656-656.99,Other and unspecified perinatal conditions
T50.7,979,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
F90.9,313.1,312-315.99,Developmental/behavioral disorders
Q96.8,758.1,756-759.99, All other congenital anomalies
D61.2,284,280-285.99,Anemias
T48.5,975,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
D19.0,212,212-212.99,Benign neoplasm of respiratory and intrathoracic organs
Q51.3,751.11,750-751.99," congenital anomalies of gi, urinary tract"
S30.0,916,916-916.99, Contusion
C06.2,145,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
I63.1,433.11,430-438.99,CEREBROVASCULAR DISEASE
F70,315.3,312-315.99,Developmental/behavioral disorders
Q79.4,756.1,754-756.99, congenital musculoskeletal anomalies
Z65.3,317.1,316-319.99, Substance-related disorders
F80-F89.9,315,312-315.99,Developmental/behavioral disorders
Z37.5,651,651-651.99,Multiple gestation
Y58.2,941,930-949.99, allergic reactions
N06.2,580.12,580-590.99, diseases of kidney and ureters
Q11.2,753,752-754.99," congenital anomalies of nervous system, spine"
C69.3,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
M08,714.2,"714-716.00, 696-696.99", Autoimmune arthritis and psoriasis
K04.5,523.32,520-526.99, Disorders of teeth and jaw
T67.4,1014,,
Q81,691,690-697.99, Other inflammatory condition of skin
Z86.0,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
N88.2,619.3,619-619.99, Other noninflammatory female genital disorders
P26.9,656.2,656-656.99,Other and unspecified perinatal conditions
B83.3,134,130-136.99, Other infections; including parasitic
I45.3,426.3,426-427.99, cardiac conduction disorders
T26.7,1000,,
C53.9,180.1,"174-184.99, 218-218.99, 792-792.99", cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear
R86.0,609.2,600-609.99, male genital disorders
S25,1007,,
L56.1,938.1,930-949.99, allergic reactions
D82.2,279.8,279-279.99,Other Immune Disorders
N45,601.3,"185-187.99, 796-796.99, 600-602.99", male genital disorders/cancer/neoplasms; elevated psa
S02.2,819,816-819.99, Intracranial injury
K70.4,571.8,570-573.99, Liver disease
H93.3,389.5,387-389.99, Hearing loss and related disorders
D29,222,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
C75.2,194,"193-194.99, 226-227.99"," Cancer/benign tumor of thyroid gland, other endocrine glands"
M70,729,725-729.99,"Rheumatism, Excluding The Back"
L90,701,700-701.99, hypertrophic skin conditions
Z85.8,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
P01.0,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
D09.3,195,195-199.99,"Neoplasms: malignant, secondary or uncertain"
F11.9,316,316-319.99, Substance-related disorders
M71.9,727,725-729.99,"Rheumatism, Excluding The Back"
Y56.7,976,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
A59.9,131,130-136.99, Other infections; including parasitic
O02,634,634-636.99,complications of pregnancy
C17.2,159.2,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
E70.3,270.1,269-270.99, Disorders of amino-acid transport/metabolism
M60-M63.9,359.2,356-359.99, Disorders of the peripheral nervous system
I63.4,433.21,430-438.99,CEREBROVASCULAR DISEASE
E07.0,246,240-246.99,DISORDERS OF THYROID GLAND
I44.4,426.32,426-427.99, cardiac conduction disorders
F30.0,296.1,295-306.99, psychological disorders
M61.1,728.1,725-729.99,"Rheumatism, Excluding The Back"
L58.0,938,930-949.99, allergic reactions
O68.0,669,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
Q04.9,752,752-754.99," congenital anomalies of nervous system, spine"
I73.0,443.1,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
O68.0,634,634-636.99,complications of pregnancy
S36.6,1008,,
O68.0,655,655-655.99,Known or suspected fetal abnormality (mother)
O10,642,642-642.99," Hypertension complicating pregnancy, childbirth, and the puerperium"
O03.3,634,634-636.99,complications of pregnancy
J95.8,519.2,519-519.99,tracheostomy complications
Q80.9,691.1,690-697.99, Other inflammatory condition of skin
B95.5,41.2,,
F60.2,301.2,295-306.99, psychological disorders
S36.7,1008,,
T46.1,972,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
T36.8,960,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
I15.9,401.3,401-405.99,HYPERTENSIVE DISEASE
E31.1,259,251-259.99,Other endocrine disorders
L64.9,704.1,703-704.99, Diseases of hair and nails
Q61.0,751.21,750-751.99," congenital anomalies of gi, urinary tract"
A88.0,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
T03.2,830,830-839.99, joint disorders and dislocations; trauma-related
J03.9,474.1,470-479.99, other/chronic upper respiratory disease
T03.2,842,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles
P90-P96.9,656,656-656.99,Other and unspecified perinatal conditions
M36.8,709.7,"690-697.99, 708-709.99",
R85.1,1010,,
T51.9,981,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
L75.9,705,705-706.99, disorders of sweat and sebaceous glands
A50.2,90,,
A03.8,8.5,,
L44.4,79,,
N88.0,624,624-625.99, symptoms involving female genital tract
H82,386.3,386-386.99, conditions associated with dizziness or vertigo
X60-X84.9,297.2,295-306.99, psychological disorders
I60.1,430.1,430-438.99,CEREBROVASCULAR DISEASE
D29.2,222,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
R06.2,512.1,512-512.99, Other symptoms of respiratory system
Q54,751.12,750-751.99," congenital anomalies of gi, urinary tract"
F16.2,316,316-319.99, Substance-related disorders
R45.2,300,295-306.99, psychological disorders
K93.1,133,130-136.99, Other infections; including parasitic
S54,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
P71.4,656.3,656-656.99,Other and unspecified perinatal conditions
J04.2,465.4,460-469.99, acute upper respiratory infections
C44.3,172.2,172-173.99,Malignant neoplasm of skin
S83.4,1009,,
O64.2,652,652-654.99,Other and unspecified complications of birth affecting mother
B68.9,134.1,130-136.99, Other infections; including parasitic
E20.9,252.2,251-259.99,Other endocrine disorders
C88.9,204.4,200-204.99, cancer of lymphatic and hematopoietic tissue
B02,53,,
E11.0,250.2,249-250.99,DIABETES
D17.0,214.1,214-215.99,Lipoma and Other benign neoplasm of connective and other soft tissue
N73.5,614.33,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
L64.0,704.1,703-704.99, Diseases of hair and nails
M15,716.1,710-716.99,Arthropathies
H59.8,1011,,
S65.2,1007,,
Z00-Z99.9,306,295-306.99, psychological disorders
T57.8,989,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
M67.2,727,725-729.99,"Rheumatism, Excluding The Back"
S32.3,802,800-809.99, Fractures
T44,971,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
S01.7,870.3,870-879.99, Open wound
R26.1,350.2,350-350.99," Other symptoms, reflex"
A46,686,680-686.99, Skin and subcutaneous tissue infections
K63.0,567,565-569.99, Other gastrointestinal
H02.8,374,369-374.99, infection/inflammation of eye
X58,1015,,
B90-B94.9,136,130-136.99, Other infections; including parasitic
Z85.6,204,200-204.99, cancer of lymphatic and hematopoietic tissue
K81.0,574.3,574-576.99, Biliary tract disease
I51.2,414,410-414.99,ISCHEMIC HEART DISEASE
